local;lg;vg;visitante;dia;Estadio;Youtube;fecha;resultado
Argentinos Juniors;1;0;Godoy Cruz;06/08/2006;Diego Armando Maradona (Arg. Jrs.);https://www.youtube.com/watch?v=PnywCjx5Cm8&t=60s;1;derrota
Godoy Cruz;2;1;Arsenal de Sarandí;25/10/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=X6C8DeqeTCE;2;victoria
Quilmes;0;0;Godoy Cruz;20/08/2006;Centenario (Quilmes);https://www.youtube.com/watch?v=ihvuykMa-ek;3;empate
Godoy Cruz;0;0;Gimnasia y Esgrima (J);26/08/2006;Malvinas Argentinas;-;4;empate
Colón de Santa Fé;2;0;Godoy Cruz;03/09/2006;Brigadier Estanislao López;https://www.youtube.com/watch?v=WBaFCp7OjQg;5;derrota
Godoy Cruz;1;1;Belgrano de Córdoba;09/09/2006;Malvinas Argentinas;-;6;empate
Boca Juniors;0;0;Godoy Cruz;17/09/2006;La Bombonera;-;7;empate
Godoy Cruz;1;3;Banfield;24/09/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=RVguHaTAd60;8;derrota
Rosario Central;1;1;Godoy Cruz;01/10/2006;Gigante de Arroyito;https://www.youtube.com/watch?v=C_NNBxXZHh4;9;empate
Godoy Cruz;3;1;Independiente de Avellaneda;07/10/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=D4hsM0ixLvE;10;victoria
San Lorenzo;3;0;Godoy Cruz;15/10/2006;Nuevo Gasómetro;https://www.youtube.com/watch?v=I_XomM-nE1w;11;derrota
Godoy Cruz;1;3;Estudiantes (LP);22/10/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=C8uAmYkyMOI;12;derrota
Gimnasia y Esgrima (LP);2;1;Godoy Cruz;29/10/2006;Juan Carmelo Zerillo;https://www.youtube.com/watch?v=WWNQuNmFsTE&t=14s;13;derrota
Lanús;3;3;Godoy Cruz;05/11/2006;Ciudad de Lanús;-;14;empate
Godoy Cruz;4;0;Nueva Chicago;12/11/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=tL3wfpKTyFk;15;victoria
Vélez Sarsfield;2;0;Godoy Cruz;18/11/2006;José Amalfitani;-;16;derrota
Godoy Cruz;0;1;River Plate;26/11/2006;Malvinas Argentinas;https://www.youtube.com/watch?v=zdzq4T_-UAE;17;derrota
Newell's Olds Boys;2;2;Godoy Cruz;02/12/2006;Coloso del Parque;https://www.youtube.com/watch?v=36jMo5YFc78;18;empate
Godoy Cruz;0;0;Racing Club;09/12/2006;Malvinas Argentinas;-;19;empate
